	[run number]	density	probability-of-spread	slow-to-burn-ratio	percentage burned
slow-to-burn-ratio:					
0					
probability-of-spread:					Average:
	685	60	55	40	93.25088245441760
	686	60	55	40	94.40035973125960
	687	60	55	40	93.5024687467171
	688	60	55	40	94.18782260613080
	689	60	55	40	93.46434736422790
	690	60	55	40	93.49505317178990
60					96.1572712861094
	741	60	60	40	95.68500252572250
	742	60	60	40	96.24213254350240
	743	60	60	40	96.42289348171700
	744	60	60	40	96.17797459012070
	745	60	60	40	95.81979005701500
	746	60	60	40	95.98254430044960
	747	60	60	40	96.02146558105110
	748	60	60	40	96.22152250416740
	749	60	60	40	96.28174362490440
	750	60	60	40	96.717643652444
65					97.5984183158366
	801	60	65	40	97.6987888362296
	802	60	65	40	97.48499193399100
	803	60	65	40	97.41009089711500
	804	60	65	40	97.67534011359130
	805	60	65	40	97.26601050918890
	806	60	65	40	97.65243338878770
	807	60	65	40	98.13081641285960
	808	60	65	40	97.50578965581500
	809	60	65	40	97.47901377963150
	810	60	65	40	97.68090763115640
70					98.5139402500389
	861	60	70	40	98.37710473366520
	862	60	70	40	98.49513916633370
	863	60	70	40	98.47865636617710
	864	60	70	40	98.61378818683500
	865	60	70	40	98.39725699704970
	866	60	70	40	98.72304573339300
	867	60	70	40	98.22936457673630
	868	60	70	40	98.6608796908908
	869	60	70	40	98.58764519535370
	870	60	70	40	98.57652185395480
75					99.032280477988
	921	60	75	40	98.95665068982870
	922	60	75	40	98.99546767738340
	923	60	75	40	99.02794973788890
	924	60	75	40	98.94106691499270
	925	60	75	40	99.1835979814526
	926	60	75	40	99.20002119149160
	927	60	75	40	98.95142759039650
	928	60	75	40	98.9829344322925
	929	60	75	40	98.94954639503420
	930	60	75	40	99.1341421691186
80					99.34572965620350
	981	60	80	40	99.22935877335180
	982	60	80	40	99.31032646322630
	983	60	80	40	99.23101400084850
	984	60	80	40	99.34994295417760
	985	60	80	40	99.49448408414740
	986	60	80	40	99.35553451178450
	987	60	80	40	99.27805443574950
	988	60	80	40	99.43941467522900
	989	60	80	40	99.35707482273260
